baslik,sarki_sozu
Bahçemde Açılmaz,"Bahçemde açılmaz seni görmezse çiçekler
Sahil seni, rüzgar seni, akşam senin bekler
Gelmezsen eğer mevsimi nereden bilecekler
Sahil seni, rüzgar seni, akşam seni bekler"
Bahar Gelmiş Neyleyim,"Bahar gelmiş neyleyim
Neyleyim baharı yazı, sen olmayınca
Eleleydik bir zamanlar
Gözgözeydik, dizdizeydik
Bizbizeydik bir zamanlar
Yaz oldu, bahar oldu şu yalancı dünyada

Hayat güzeldi seninyanında
Yalanmış aşkın, yazık ki aldandım
Ümit verirken güzeldi dünyaya
Seven yanarmış, yazık sana kandım
Bahar gelmiş neyleyim
Neyleyim ah sen olmayınca"
Bana Yardan Vazgeç Derler,"Bana yardan vazgeç derler
Ben geçerim gönül geçmez
Üftadesi çoktur derler
Ben geçerim gönül geçmez

Aşkına düştüm ne çare
Gönül düştü ahu zare
Çekerseler beni dara
Ben geçerim gönül geçmez"
Benden Ayrılsan Da Yine,"Benden ayrılsan da yine, yine gönlüm sendedir
Neye baksam, neyi görsem, yine kalbim sendedir
Benim sensin bütün zevkim, bütün ruhum, hayatım
Neye baksam neyi görsem, yine kalbim senindir"
Beklenen Şarkı,"Gözlerinin içine başka hayal girmesin
Bana ait çizgiler dikkat et silinmesin
İstersen yum gözlerini tıpkı düşünür gibi
Benden evvel başkası bakıp seni görmesin

Kıskanırdım seni ben kendi gözümden bile
Nasıl verirdim seni bir gün yabancı ele
Sana gelen yollarda daima beni bekle
Benden evvel başkası bakıp seni görmesin"
Cânâ Rakibi Handân Edersin,"Cânâ rakibi handân edersin
Ben bi-nevâyı giryân edersin
Bigânelerle ünsiyet etme
Bana cihanı zindân edersin

Akıtma çeşmim gel mest-i nâzım
Âfâk-ı eşki ummân edersin
Süzme kerem kıl çeşm-i siyâhım
Zirâ ki havfım berkaam edersin"
Canımın Yoldaşı Ol,"Canımın yoldaşı ol
Gönlüme bin neş'e bırak
Ah sevgilim sevgilim gönlüme bin neş'e bırak
Beni sev öpte uyut ah
Bağrına bas kırma sakın
Ah sevgilim sevgilim bağrına bas kırma sakın
Kara sevda gibi ah hülyama süzül kalbime ak
Ah sevgilim sevgilim hülyama süzül kalbime ak
Seni ahım kavurur ah başkasını sarma sakın"
Çamlarda Şafak Rengi Gibi Gönlüme Aktın,"Çamlarda şafak rengi gibi gönlüme aktın
Her nûr-i nigâhında benim ruhumu yaktın
Lakin güzelim söyle niçin benden uzaksın
Her nûr-i nigâhında benim ruhumu yaktın"
Çile Bülbülüm Çile,"Bülbülüm gel de dile
Söyle benimle bile
Sesini duyur ele
Çile bülbülüm çile

Müjde ey güzel kuşum
Bahara erdi kışım
Gülüyor içim dışım
Çile bülbülüm çile

Issız yuvanda tektin
Çekilmez çile çektin
Kim derdi gülecektin
Çile bülbülüm çile"
Çıksam Şu Dağların,"Çıksam şu dağların yücelerine
Eş olsam gurbetin gecelerine
İmrenir dururum nicelerine
Bir ben mi murada eremiyorum

Bağrımda bir yangın yanar tutuşur
Görünmez dallarda kuşlar ötüşür
Bir gönlüm var benim yanar tutuşur
Bir ben mi murada eremiyorum"
Çok Geceler Bekledim,"Çok geceler bekledim
Belki gelirsin diye
Gözyaşımı silmedim
Acır silersin diye

Kalbimi hep boş tuttum
Gelir girersin diye
Kimseleri sevmedim
Bana dönersin diye

Geçti artık çaresiz
Hicranlarla dolu ömrüm
Hatıra kaldı bana
Acı dolu her günüm

Şimdi artık bahçemde
Ötmez oldu bülbülüm
Seviyorum deseydin
Uğruna ben ölürdüm"
Çerkez Kızı,"Yüreğimde ince sızı
Sen ol bahtımın yıldızı
Deme sakın kalp hırsızı
Seviyorum çerkez kızı

İnanmazsın belki aşka
Gir gönlüme sen de yaşa
Çalma beni taştan taşa
Seviyorum çerkez kızı

Bir ateş düştü özüme
Darılma sakın sözüme
Dünya sensiz dar gözüme
Seviyorum çerkez kızı"
Çözülme Zülfüne Ey Dil-rübâ,"Çözülme zülfüne ey dil-rübâ dil bağlayanlardan
Kaçınma âteş-i aşkınla bağrın dağlayanlardan
Düşer mi ictinâb etmek seninçün ağlayanlardan
Sirişk-i çeşmimin bak farkı var mı çağlayanlardan"
Çaya İner Ağlarım,"Çaya iner ağlarım,gülü deste bağlarım
Birisi kendim için,biri yare yollarım
Oy anam niye niye
Öldüm yar diye diye

Çaya indim susuzum,kaç gündür uykusuzum
Varsam yarın yanına,dilim durmaz huysuzum
Oy anam niye niye
Öldüm yar diye diye"
Çayır İnce Biçemedim,"Çayır ince biçemedim
Soğuk sular içemedim
Bana yardan geç diyorlar
Yar tatlıdır geçemedim

Olur desinler olmaz desinler
Herkes beni sana vurgun desinler
Meram bağlarında kaldı desinler

Elinizden elinizden
Ben kurtulsam dilinizden
Yeşil başlı ördek olsam
Sular içmem elinizden

Olur desinler olmaz desinler
Herkes beni sana vurgun desinler
Meram bağlarında kaldı desinler"
Çok Yalnızım,"Hayatta bu ilk aşkım
Kaderle ilk oyunum
Kırılmış bir dal gibi
Bükülü kaldı boynum

Çok yalnızım ama çok
Nasıl şey anlayamam
Öldüm mü hiç soran yok
Ben böyle yaşayamam

Dünyada sanki bir ben
Bir de bitmeyen çilem
Gözyaşı seli basmış
Hâlâ dolmuyor neden?

Çok yalnızım ama çok
Nasıl şey anlayamam
Öldüm mü hiç soran yok
Ben böyle yaşayamam"
