baslik,sarki_sozu
Çamlıca Yolunda,"Çamlıca yolunda / Aşığı kolunda / İşleri yolunda
O benim sağımda / Ben onun solunda / Çamlıca yolunda

Çamlıca bağları / Yemyeşil dağları / İlkbahar çağları
Cennetten haberdir / Emsalsiz bir yerdir / Çamlıca bağları

Çamlıca tepesi / Güzeldir gezmesi / Mehtaplı gecesi
Herkesin hevesi / Almaktır nefesi / Çamlıca tepesi

Çamlıca güzeldir / Sevdiğim dilberdir / Sözleri sitemdir
Gönlüme girendir / Hüznümü görendir / Çamlıca güzeldir"
Duydum Ki Unutmuşsun,"Sözler:
Duydum ki unutmuşsun gözlerimin rengini
Yazık olmuş o gözlerden sana akan yaşlara
Bir zamanlar sevginle ateşlenen başımı
Dizlerinin yerine dayasaydım taşlara

Hani bendim yedi renk hani tende can idim
Hani gündüz hayalin geceler rüyan idim
Demek ki senin için aşk değil yalan idim
Acırım heder olan o en güzel yıllara"
Dertli,"Dertli ne ağlayıp gezersin burda
Ağlatırsa mevlam yine güldürür
Nice aşık kondu göçtü buradan
Ağlatırsa mevlam yine güldürür

Sevdaya salma şu garip başını
Akıtır gözünden kanlı yaşını
Kerimdir onarır kulun işini
Ağlatırsa mevlam yine güldürür"
Dönülmez Akşamın Ufkundayız,"Sözler:
Dönülmez akşamın ufkundayız vakit çok geç
Bu son fasıldır ey ömrüm nasıl geçersen geç
Cihana bir daha gelmek hayal edilse bile
Avunmak istemeyiz böyle bir teselliyle
Aah geniş kanatları boşlukta simsiyah açılan
ve arkasında güneş doğmayan büyük kapıdan
Geçince başlayacak bitmeyen sükunlu gece
Gruba karşı bu son bahçelerde keyfince
Ya şevk içinde harap ol ya aşk içinde gönül
Ya lale açmalıdır göğsümüzde yahut gül
Aah dönülmez akşamın ufkundayız vakit çok geç"
Değdi Saçlarıma,"Değdi saçlarıma bahar çiçeği
Nazende sevgilim yadıma düştü
Sevenin bahtına bir güzel düşer
Sen de tek sevgilim bahtıma düştün
Nazende sevgilim aklıma düştün

Gözlerim yoldadır kulağım seste
Ben seni unutmam en son nefeste
Ey ceylan bakışlım ey boyu beste
Sen de tek sevgilim bahtıma düştün
Nazende sevgilim aklıma düştün"
Derdimi Anlatırdım,"Derdimi anlatırdım ıssız geceler aya
Ne kadar acı çektim günleri saya saya
Benimçün yanan kalbin şimdi sönmüş bir kaya
Ne kadar acı çektim günleri saya saya"
Düriye’ min Güğümleri Kalaylı,"Düriye’ min güğümleri kalaylı
Fistan giymiş etekleri alaylı
Düriye’ mi aldatması kolay mı
Ah alırım dedin de aldattın beni
Üç teli saz ile oynattın beni
Giyme dedim giydin sen bu alleri
Başıma getirdin türlü halleri
Düşman ettin bana bütün elleri
Ah alırım dedin de aldattın beni
Üç teli saz ile oynattın beni"
Dün Gece Mehtâba Dalıp,"Dün gece mehtâba dalıp hep seni andım
Öyle bir an geldi ki mehtâb seni sandım
Sevgili rüyana mı aldın beni bir dem
Öyle bir an geldi ki mehtâb seni sandım"
Dağlar Dağlar Viran Dağlar,"Dağlar dağlar viran dağlar
Yüzüm güler kalbim ağlar
Yüreğimden kanlar damlar
Bir olaydı bir olaydı ne olur benim olaydı

Edirne köprüsü taştan
Sen çıkardın beni baştan
Hem anadan hem kardaştan
Bir olaydı bir olaydı ne olur benim olaydı"
Dertliyim Ruhuma Hicrânımı,"Dertliyim ruhuma hicrânımı sardım da yine
İnlerim şimdi uzaklarda solan gün gibiyim
Gecenin rengini kattım içimin matemine
Sönen ümid ile günden güne ölgün gibiyim

Bahtımın yıldızı sanmıştım seni
Sensiz karanlıktır her günüm, Leyla
Ayrılık Mecnun’ a döndürdü beni
Dertliyim yürekten, üzgünüm Leyla

Sevda yaman bir çile / Çekenler düşer dile
Ayrılık ölüm gibi / Giden gelmiyor, Leyla

Gülüm yaprağım soldu / Gönlüme hazân doldu
Bir ömür harâb oldu / Onu bilmiyor Leyla"
Dilşad Olacak Diye,"Dilşad olacak diye kaç yıl avuttu felek
Saçıma karlar yağmış boşuna yaz beklemek
Ne bülbül dile geldi ne de açtı bir çiçek
Saçıma karlar yağmış boşuna yaz beklemek"
Dalında Solarken,"Dalında solarken akşamın gülü
Ufuktan çözülmüş güneşin tülü
Dinlerken kırlarda yanık bülbülü
İçmesem bir türlü içsem bir türlü

Akşam üstü çatmış muhabbet demi
Kurmuştur erenler meclis-i cemi
Başımda eserken hicran meltemi
İçmesem bir türlü içsem bir türlü"
Erkilet Güzeli,"Erkilet güzeli bağlar bozuyor amanın aman
Kirpikleri kalem olmuş yazıyor canım
Tek tek basaraktan,bade süzerekten,inci dizerekten
Gel canım gel aman

Cevizin yaprağı dal arasında amanın aman
Severler güzeli bağ arasında canım
Tek tek basaraktan,bade süzerekten,inci dizerekten
Gel canım gel aman"
El Çek Tabib,"El çek tabib el çek yaram üstünden
Sen benim derdime devâ bilmezsin
Lokman hekim gelse bulunmaz çare
Yaram yürektedir sarabilmezsin

İçerim yanıyor dışım havai
Çekmeyen ne bilir aşkı sevdayı
Felek viran etti gönlüm sarayı
Yaram yürektedir sarabilmezsin"
